label,selected_policy_id,selected_label,source_welfare,selection_type,scenario,n_ensembles,zaf_mean_abatement_burden_all_years,zaf_worst_abatement_burden_all_years,zaf_mean_damage_burden_all_years,zaf_worst_damage_burden_all_years,zaf_mean_total_burden_all_years,zaf_worst_total_burden_all_years,zaf_mean_consumption_per_capita_all_years,zaf_ecr_mean_end,global_temp_mean_2100,global_temp_p95_2100,fraction_above_threshold_2100,mean_years_above_threshold,evaluated_welfare,zaf_abatement_burden_2050,zaf_damage_burden_2050,zaf_total_burden_2050,zaf_consumption_pc_2050,zaf_ecr_2050,global_temp_mean_2050,zaf_abatement_burden_2100,zaf_damage_burden_2100,zaf_total_burden_2100,zaf_consumption_pc_2100,zaf_ecr_2100
P2_PRIORITARIAN_best_welfare_within_frame__scenario_4,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,4,15,0.009319347719089294,0.12679003886789478,0.022757519928143732,0.06532682545321347,0.032076867647233026,0.14668798349300555,65.58579245401775,0.9807865065850537,2.1886117642656067,2.458031155018398,0.8666666666666667,175.0,-498.9057833137958,0.04623836997645387,0.01479484628764264,0.06103321626409651,16.18354689129991,0.7352389549687854,1.729328763410281,0.010678160147250796,0.023209367617033985,0.03388752776428478,44.55556449160576,0.9648526259110273
P2_PRIORITARIAN_best_welfare_within_frame__scenario_5,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,5,15,0.010750700269806353,0.14256948151631185,0.024372845952458352,0.06705967019083187,0.035123546222264705,0.1643463492758151,65.37009694581127,0.9792604307960094,2.291058420502779,2.5748009031124033,0.9333333333333333,191.6,-499.3901099199094,0.06079461301619899,0.016105318228652014,0.07689993124485099,15.87715852425925,0.7808761019288138,1.7893229723598938,0.0109789499077403,0.025557405964235988,0.036536355871976296,44.335452858580624,0.9734926943458303
P2_PRIORITARIAN_best_welfare_within_frame__scenario_6,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,6,15,0.010831031019043936,0.12987580765272377,0.019845030015169258,0.058586741682457394,0.030676061034213196,0.14980967734838144,121.5986555111324,0.9804282789364348,2.0194744862043508,2.313136063944916,0.5333333333333333,144.46666666666667,-378.57148546146107,0.08326510870005022,0.02046143123826324,0.10372653993831345,23.55237182127111,0.8698676300491894,1.9826317075288102,0.008093861757886393,0.019499148267852578,0.02759301002573897,79.46076700543811,0.9613765027015987
P2_PRIORITARIAN_best_welfare_within_frame__scenario_7,2,P2_PRIORITARIAN_best_welfare_within_frame,PRIORITARIAN,best_welfare_within_frame,7,15,0.011102754784115263,0.13301809338591364,0.03059724310058084,0.07207888831368607,0.041699997884696104,0.14909157352897617,119.3057840238057,0.9690271222814656,2.629040529080442,3.0348458424048426,0.9333333333333333,220.66666666666666,-379.08215728922323,0.08398103801659401,0.020750349024434574,0.10473138704102856,23.525058394628577,0.8713949354714502,2.00193179485404,0.00832549719379348,0.03326590378452284,0.04159140097831631,77.90586557267484,0.9690271222814656
P3_PRIORITARIAN_lowest_climate_risk__scenario_0,3,P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,0,15,1.3928584857829028e-07,3.755061222494508e-06,0.03481231661659459,0.0884498779225909,0.03481245590244317,0.08844987971468682,60.44209828286273,0.023882591336639093,2.434658059834014,2.816399422265094,0.8666666666666667,227.6,-399.5305750297591,4.903364131651958e-07,0.01646342796251795,0.016463918298931113,21.626783119557516,0.010471631946101647,1.8059747327410716,3.120077777251837e-08,0.028769378303471878,0.028769409504249655,49.49817551105323,0.012617683404790477
P3_PRIORITARIAN_lowest_climate_risk__scenario_1,3,P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,1,15,1.3905155869270493e-07,3.753974137993072e-06,0.03490947579064596,0.08811925787101829,0.03490961484220465,0.08811925963916624,60.43377614706137,0.023816360815817266,2.449360261011417,2.838940761563787,0.8666666666666667,229.66666666666666,-399.53792949008994,4.888733081284334e-07,0.016631756058036698,0.016632244931344825,21.62356556355723,0.01045661287544087,1.8149221791741519,3.131771221908641e-08,0.02909810451464745,0.029098135832359668,49.47443313330752,0.012674716885800867
P3_PRIORITARIAN_lowest_climate_risk__scenario_2,3,P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,2,15,2.896646807069388e-07,3.902744790749549e-06,0.07304839747920343,0.18300307234135216,0.07304868714388414,0.1830034320837339,58.80059391554315,0.09295510635988283,3.2531677102511,3.6843558873249402,1.0,248.66666666666666,-414.42265827016644,5.612428924542986e-07,0.019296847851773304,0.019297409094665756,17.290526791121422,0.010477768986424971,1.942943148171644,1.285287306977783e-07,0.047611669292380886,0.04761179782111158,44.4215378053434,0.020393528290793626
P3_PRIORITARIAN_lowest_climate_risk__scenario_3,3,P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,3,15,5.530954994612969e-07,4.162570973883264e-06,0.08331385340421678,0.19888162034125934,0.08331440649971625,0.19888237562008576,23.05127429652811,0.11163032796302365,3.5488321935026574,3.9622721905953786,1.0,249.33333333333334,-499.3496580215435,7.022333397940214e-07,0.019157018880390623,0.019157721113730417,12.351394775709748,0.010440103447424008,1.938688986550863,2.995558006034087e-07,0.05450898752750722,0.054509287083307836,21.400924624226416,0.023951318820047376
P3_PRIORITARIAN_lowest_climate_risk__scenario_4,3,P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,4,15,2.3220938863806004e-07,4.230767608688919e-06,0.05428148535648459,0.12488468990290812,0.05428171756587323,0.12488475428503937,62.254227369921736,0.04648517890979194,3.044122096148644,3.431736019421334,1.0,246.53333333333333,-503.09170059498604,7.333350048120161e-07,0.017924200166131127,0.01792493350113594,17.067257597225442,0.010411147238535043,1.8814452023554709,1.306440907391852e-07,0.04278415483844016,0.0427842854825309,44.34338539399983,0.015301667079192652
P3_PRIORITARIAN_lowest_climate_risk__scenario_5,3,P3_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,5,15,2.4063261802769207e-07,4.2307688290623794e-06,0.05632919510193039,0.12629420319702492,0.05632943573454842,0.1262942712683837,62.04454047562151,0.04742366730085064,3.16868197210338,3.5629019324150737,1.0,248.93333333333334,-503.48778058333517,7.396038260545794e-07,0.01924532424693913,0.01924606385076518,17.038610426859268,0.010452968678460578,1.9414397139013557,8.738284471657619e-08,0.04574156413758072,0.04574165152042543,44.150702952623234,0.012895794422244356
