selected_label,source_welfare,selection_type,scenario,zaf_mean_abatement_burden_all_years,zaf_worst_abatement_burden_all_years,zaf_mean_damage_burden_all_years,zaf_worst_damage_burden_all_years,zaf_mean_total_burden_all_years,zaf_worst_total_burden_all_years,zaf_abatement_burden_2050,zaf_damage_burden_2050,zaf_total_burden_2050,zaf_ecr_2050,zaf_abatement_burden_2100,zaf_damage_burden_2100,zaf_total_burden_2100,zaf_ecr_2100
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,1,1.5182178921794668e-06,5.6505919366187463e-05,0.034176898437230666,0.08731111632631186,0.03417841665512284,0.08731112271359756,6.686530341996578e-06,0.016328637032363442,0.016335323562705433,0.03854879833805862,2.858406970311777e-07,0.028337078915335132,0.028337364756032164,0.03854879833805862
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,2,1.7336769298677555e-06,6.061940072275771e-05,0.07137491923663634,0.17989338494297666,0.07137665291356621,0.1798933999886683,7.512092988676982e-06,0.01884152357788631,0.018849035670874984,0.03822522254548711,4.3000845164000736e-07,0.04613361466001271,0.04613404466846435,0.03822522254548711
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,3,2.1898347429414265e-06,6.878255599912023e-05,0.0809302200157602,0.1937532901779199,0.08093240985050312,0.19375331859521822,9.68500631142234e-06,0.01867187320776222,0.018681558214073645,0.03864786840309338,7.526608339515616e-07,0.05269748093722469,0.05269823359805863,0.03864786840309338
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,4,2.2407264698237397e-06,6.937575911818816e-05,0.053253849899373124,0.1226409037178752,0.05325609062584295,0.12264091729028591,1.0258364390599894e-05,0.017561067608586757,0.017571325972977354,0.03882502691017517,7.795065412815678e-07,0.041810888606440666,0.04181166811298194,0.03882505943516011
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,5,2.212964940750015e-06,6.943344531424838e-05,0.05537618907814227,0.12427232534455465,0.05537840204308301,0.12427233893531574,1.005572175039552e-05,0.018888876715839876,0.01889893243759027,0.03842507821604051,7.648503424619738e-07,0.04480201224097123,0.0448027770913137,0.03842507821604051
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,6,1.783840336493963e-06,6.152455041953463e-05,0.10333857632729816,0.26281591485821126,0.10334036016763466,0.26281592679393123,7.8275466366355e-06,0.024427391141663004,0.024435218688299634,0.036313761975702616,5.31184818226578e-07,0.059143296006815956,0.059143827191634184,0.036313761975702616
P5_PRIORITARIAN_lowest_climate_risk,PRIORITARIAN,lowest_climate_risk,7,1.7854104561984817e-06,6.152466259549437e-05,0.11385758957050034,0.2719914307240142,0.11385937498095652,0.27199144272733355,7.832061197035538e-06,0.024736344394128817,0.024744176455325857,0.036324045881254964,5.343145473475698e-07,0.07392309234211851,0.07392362665666585,0.036324045881254964
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,0,0.008197857166947781,0.10244244231305893,0.018738974936361952,0.061678001250387963,0.02693683210330973,0.12194771961514646,0.08127615919476422,0.013936435191300162,0.0952125943860644,0.9381893388246674,0.003933508347741411,0.015803456285488512,0.019736964633229926,0.9675622514597033
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,1,0.008202264712419928,0.10246674266465339,0.018814298306499173,0.06155010993145517,0.027016563018919106,0.12014748073030872,0.08119221967224445,0.014094069968852941,0.09528628964109737,0.9381875788734041,0.003947226966035069,0.016096355993380097,0.020043582959415166,0.9683481027078087
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,2,0.01079419759251554,0.11812164633466035,0.03528716747805614,0.09406133492049719,0.04608136507057168,0.133251147480744,0.09584245304574464,0.016058047642201395,0.11190050068794602,0.9444354027119659,0.006312767923157361,0.024341049987139884,0.030653817910297247,0.9778207264555333
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,3,0.014979600553907521,0.14385784824819067,0.04423829230698136,0.10794690838232306,0.059217892860888875,0.1621159942060487,0.12019051174365374,0.01582091801347744,0.13601142975713118,0.9431441907385664,0.010762634649517542,0.031811241579399255,0.0425738762289168,0.9760872362972332
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,4,0.015181151933824409,0.15262568247162217,0.029237972815433087,0.07859611453740252,0.044419124749257494,0.16430210174683885,0.12273159893648537,0.014984083835232895,0.13771568277171828,0.9373927966099256,0.01122660379196548,0.025350867080440286,0.036577470872405766,0.9787342602708883
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,5,0.0154866970148523,0.15400635809751426,0.031200309651494732,0.08084335910299964,0.04668700666634703,0.1699982298550336,0.12754426167726832,0.016312482403087584,0.14385674408035592,0.9446127322071021,0.01122782801154971,0.028083730638730462,0.039311558650280166,0.9784648748380643
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,6,0.01302734261074844,0.1340926937716596,0.045835014235821946,0.1241008337169602,0.058862356846570395,0.15524876327767181,0.1070721742157877,0.020713051228224068,0.12778522544401177,0.9376567956560371,0.008498112179338662,0.027076819759768875,0.03557493193910753,0.9749639815796358
P6_PRIORITARIAN_compromise,PRIORITARIAN,compromise,7,0.01296795316844427,0.13431108028096644,0.05649009284170703,0.13422097467702704,0.06945804601015129,0.15528160774165606,0.10716420230661375,0.021002886199679167,0.1281670885062929,0.9377812001111745,0.008418381377965687,0.041355190991893456,0.04977357236985914,0.971869223101884
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,0,0.009067963286235145,0.10424779326687009,0.018502633342694245,0.06139136441639692,0.02757059662892939,0.1225831687509691,0.09240249305294147,0.013905416439056318,0.10630790949199781,0.9653174180726158,0.004189409170982791,0.015551247237071856,0.01974065640805465,0.9808048145650201
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,1,0.009063842778024193,0.10434658256449486,0.018571381240023152,0.06099945871882033,0.027635224018047345,0.12222041801643149,0.09169046159730103,0.014062695387977652,0.10575315698527868,0.9637195471356751,0.004192371522703426,0.015843155635112717,0.020035527157816143,0.9809191421124428
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,2,0.011278916069827803,0.11908953243694641,0.035137512584527304,0.09371578115222812,0.046416428654355114,0.13703743909411711,0.10204802110468487,0.016022569790637778,0.11807059089532264,0.9576869347750101,0.006424143351790202,0.024185337658159403,0.030609481009949605,0.9813893594533117
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,3,0.015676015680887587,0.14974798368957232,0.044002364096727746,0.10708899216814582,0.05967837977761533,0.1673716911044356,0.12818815587192003,0.01578340284828097,0.14397155872020098,0.9561571470460886,0.011052384376621342,0.03164699789439426,0.0426993822710156,0.9814033963836574
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,4,0.01608496513650174,0.15717145016376333,0.02909895214547802,0.07827895401977969,0.04518391728197976,0.17371577139051672,0.13654950473777766,0.014947944340781616,0.15149744907855928,0.9587377661538207,0.011369910888628492,0.025196707848079695,0.03656661873670818,0.9812206179548078
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,5,0.01603484582275791,0.15727954643578868,0.031091981670040125,0.08027800760523938,0.04712682749279802,0.1752119518298233,0.13461437233430446,0.016279267308640225,0.15089363964294472,0.9556468079764322,0.011373249850685005,0.027985042171348107,0.039358292022033114,0.9810290966894498
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,6,0.013454775824750225,0.1364217576346624,0.045372405452928276,0.11868423583873774,0.05882718127767851,0.1581849210678266,0.11210897501537041,0.020676841897693796,0.1327858169130642,0.9468506934686841,0.008706610422842246,0.026860531983751164,0.035567142406593415,0.9799030543708922
P7_PRIORITARIAN_compromise,PRIORITARIAN,compromise,7,0.01348256945420452,0.13635015535673845,0.05572388218507088,0.1285502496695852,0.06920645163927541,0.15906734986615267,0.11210666851869723,0.020966623610440112,0.13307329212913735,0.9468095728327973,0.008763893592935461,0.041028270492345614,0.049792164085281074,0.9801994814489028
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,0,0.0003592366001283902,0.009444788261776185,0.018172654575627396,0.060968708108567665,0.01853189117575579,0.06097312295397312,0.002762194653805951,0.013848050466068074,0.016610245119874023,0.3790495965109493,0.0002260721779658129,0.015464706497648048,0.015690778675613856,0.5084535408334511
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,1,0.0003351368161201305,0.007816331216093575,0.018248694670387835,0.06056625598482898,0.01858383148650796,0.06057095758183946,0.0023473421373139424,0.014006430519898954,0.016353772657212898,0.35468359396730237,0.0002350372747031152,0.015763492916284996,0.01599853019098811,0.5137091966816568
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,2,0.00035708117246329807,0.0085416684558053,0.03475813193708152,0.09290063099742617,0.035115213109544824,0.0929150465622146,0.0019042396315494012,0.01603183765934232,0.01793607729089173,0.3054655047829976,0.00036883386953278594,0.02438755103284006,0.02475638490237285,0.5270488571120597
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,3,0.0005036541273923411,0.011169433710593207,0.04299281452930121,0.10450514263766876,0.04349646865669355,0.10452668317958759,0.002303128407278677,0.01575594855237246,0.018059076959651144,0.3007095709194541,0.0005706135126661816,0.03160000269754035,0.032170616210206525,0.5109083837398201
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,4,0.000517049411526342,0.01080665121577462,0.028340844393559345,0.07706506733083332,0.028857893805085688,0.07707714103905562,0.002734590004944158,0.014924260874833083,0.01765885087977724,0.31480359169662747,0.0006640439713734187,0.02519829415368634,0.025862338125059763,0.5315616071069597
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,5,0.0005015134218391146,0.011667609091362776,0.030383699832551368,0.078896783751484,0.03088521325439049,0.07890869380994193,0.0024996443546361036,0.016257552492633425,0.01875719684726953,0.3002611142472488,0.0006039733391445246,0.02801735160291256,0.028621324942057085,0.513058236056268
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,6,0.0004157950749306914,0.008783905243330234,0.04517027876046252,0.11633607044965993,0.04558607383539321,0.11635298497681926,0.0014854876398023382,0.020721723621224118,0.02220721126102646,0.2912894527673345,0.0005354578096146941,0.027408795506211555,0.027944253315826246,0.5353130901461093
P8_PRIORITARIAN_compromise,PRIORITARIAN,compromise,7,0.000437096237400846,0.008694506210035348,0.0557802124434555,0.12651099641936045,0.056217308680856344,0.12653389977095583,0.0015717613642194832,0.02101207964691115,0.02258384101113063,0.29243109873256945,0.00045730611117031063,0.04162720782214814,0.04208451393331845,0.5121188330014141
